17:57:00.137 -> red=123578, ir=58782, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.279 -> red=123993, ir=58977, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.326 -> red=124002, ir=59123, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.466 -> red=124452, ir=59278, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.559 -> red=124444, ir=59460, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.651 -> red=125467, ir=59920, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.745 -> red=125542, ir=59960, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.888 -> red=125559, ir=59958, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.936 -> red=125501, ir=60064, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:01.077 -> red=126155, ir=60246, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:01.123 -> red=125938, ir=60151, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:01.264 -> red=125834, ir=60116, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:01.358 -> red=125745, ir=60123, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:01.451 -> red=125703, ir=60112, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:01.546 -> red=125636, ir=60111, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:01.687 -> red=125708, ir=60165, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:01.733 -> red=125753, ir=60138, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:01.874 -> red=125536, ir=60121, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:01.967 -> red=125489, ir=60092, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.060 -> red=125380, ir=60093, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.154 -> red=125366, ir=60086, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.250 -> red=125267, ir=60113, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.345 -> red=125300, ir=60138, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.487 -> red=125465, ir=60207, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.534 -> red=125489, ir=60227, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
17:57:02.676 -> red=125456, ir=60243, HR=150, HRvalid=1, SPO2=82, SPO2Valid=1
